name,x,y,z,yaw,size_x,size_y,camera_radius_max,camera_height_min,camera_height_max
BE_Stage_10,0.0,740.0,0.0,0.0,100.0,100.0,250.0,90.0,250.0
BE_Stage_11,60.0,470.0,0.0,0.0,100.0,100.0,250.0,90.0,250.0
BE_Stage_12,210.0,390.0,0.0,0.0,100.0,100.0,250.0,90.0,250.0
BE_Stage_13,200.0,260.0,0.0,0.0,100.0,100.0,250.0,90.0,250.0
BE_Stage_14,310.0,240.0,0.0,0.0,100.0,100.0,250.0,90.0,250.0
BE_Stage_15,-70.0,-460.0,0.0,0.0,100.0,100.0,250.0,90.0,250.0
BE_Stage_16,260.0,-1160.0,0.0,0.0,100.0,100.0,250.0,90.0,250.0
BE_Stage_17,310.0,-1410.0,0.0,0.0,100.0,100.0,250.0,90.0,250.0
BE_Stage_18,320.0,-1690.0,0.0,0.0,100.0,100.0,250.0,90.0,250.0
BE_Stage_19,80.0,-1880.0,0.0,0.0,100.0,100.0,250.0,90.0,250.0
BE_Stage_20,-210.0,-1660.0,0.0,0.0,100.0,100.0,250.0,90.0,250.0
