name,x,y,z,yaw,size_x,size_y,camera_radius_max,camera_height_min,camera_height_max
BE_Stage_00,-1230.0,120.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_01,-970.0,-260.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_02,-920.0,30.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_03,-580.0,210.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_04,-350.0,150.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_05,-570.0,-160.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_06,-230.0,-160.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_07,210.0,-30.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_08,200.0,-380.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_09,-170.0,-1050.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_10,330.0,-1060.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_11,-480.0,-1120.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_12,-1130.0,-1200.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
BE_Stage_13,-1130.0,-1200.0,0.0,0.0,150.0,150.0,200.0,50.0,250.0
